Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/
    
Estimated murder and nonnegligent manslaughter
Year,District of Columbia
1960,          81
1961,          88
1962,          91
1963,          95
1964,         132
1965,         148
1966,         141
1967,         178
1968,         195
1969,         287
1970,         221
1971,         275
1972,         245
1973,         268
1974,         277
1975,         235
1976,         188
1977,         192
1978,         189
1979,         180
1980,         200
1981,         223
1982,         194
1983,         183
1984,         175
1985,         147
1986,         194
1987,         225
1988,         369
1989,         434
1990,         472
1991,         482
1992,         443
1993,         454
1994,         399
1995,         360
1996,         397
1997,         301
1998,         260
1999,         241
2000,         239
2001,         231
2002,         264
2003,         249
2004,         198
2005,         195
2006,         169
2007,         181
2008,         186
2009,         145
2010,         132
2011,         108
2012,          88
2013,         103
2014,         105

		,Notes:,National or state offense totals are based on data from all reporting agencies and estimates for unreported areas.
 
 
,,"District of Columbia - 
"
 
,,"1999-2008 District of Columbia data include reports from the Zoological Police
" 
,,"2002-2008 data include reports from the Metro Transit Police
" 
,,"2012 data includes offenses reported by the Zoological Police and the Metro Transit Police.
" 

"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data" 
Date of download: Nov 01 2017
