Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/
    
Estimated violent crime total
Year,District of Columbia
1960,       4230
1961,       4491
1962,       4750
1963,       4740
1964,       5112
1965,       5804
1966,       7155
1967,       9252
1968,      12180
1969,      17038
1970,      16846
1971,      16084
1972,      12607
1973,      11626
1974,      11590
1975,      12704
1976,      10399
1977,       9843
1978,       9515
1979,      10553
1980,      12772
1981,      14468
1982,      13397
1983,      11933
1984,      10725
1985,      10171
1986,       9423
1987,      10016
1988,      11914
1989,      12937
1990,      14919
1991,      14671
1992,      16685
1993,      16888
1994,      15177
1995,      14744
1996,      13411
1997,      10708
1998,       8988
1999,       8448
2000,       8626
2001,       9195
2002,       9322
2003,       9061
2004,       7590
2005,       8032
2006,       8772
2007,       8325
2008,       8509
2009,       8089
2010,       8026
2011,       7433
2012,       7866
2013,       8415
2014,       8199

		
		,1. The figures shown in this column for the offense of rape were estimated using the legacy UCR definition of rape - previously known as "Forcible" rape.  See UCR Offense Definitions for further information.
		
		,2. The figures shown in this column for the offense of rape were estimated using the revised Uniform Crime Reporting (UCR) definition of rape. In December 2011 the UCR program changed its definition of SRS rape to this revised definition. This change can be seen in the UCR data starting in 2013. Prior to 2013 this column will be blank. See UCR Offense Definitions for further information.
		
		
		,Notes:,National or state offense totals are based on data from all reporting agencies and estimates for unreported areas.
 
 
,,"District of Columbia - 
"
 
,,"1999-2008 District of Columbia data include reports from the Zoological Police
" 
,,"2002-2008 data include reports from the Metro Transit Police
" 
,,"2012 data includes offenses reported by the Zoological Police and the Metro Transit Police.
" 

"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data" 
Date of download: Nov 01 2017
