
Maryland Crime Rates 1960 - 2016

 
Maryland Population and Number of Crimes  1960 - 2016
												Forcible		Aggravated		Larceny-	Vehicle
Year	Population	Index	Violent	Property	Murder	Rape	Robbery	assault	Burglary	Theft	Theft
1960	3,100,689	51,783	4,691	47,092	168	224	1,158	3,141	11,360	30,024	5,708
1961	3,188,000	57,065	4,959	52,106	143	262	1,330	3,224	12,348	33,461	6,297
1962	3,191,000	60,325	4,915	55,410	183	279	1,340	3,113	12,886	36,298	6,226
1963	3,289,000	70,452	5,283	65,169	207	308	1,721	3,047	15,968	41,387	7,814
1964	3,432,000	81,919	7,446	74,473	229	346	2,041	4,830	18,735	46,471	9,267
1965	3,519,000	97,104	10,032	87,072	236	489	2,919	6,388	22,474	53,831	10,767
1966	3,613,000	114,302	11,236	103,066	254	554	4,470	5,958	27,254	60,270	15,542
1967	3,682,000	143,980	17,458	126,522	293	720	7,809	8,636	37,366	71,147	18,009
1968	3,757,000	172,061	23,405	148,656	350	978	10,355	11,722	48,886	77,041	22,729
1969	3,765,000	172,186	24,295	147,891	350	1,125	11,086	11,734	41,970	83,610	22,311
1970	3,922,399	182,040	24,512	157,528	362	936	13,280	9,934	41,234	94,816	21,478
1971	4,000,000	191,967	24,857	167,110	449	997	13,015	10,396	44,900	101,138	21,072
1972	4,056,000	187,740	26,412	161,328	509	1,053	13,144	11,706	45,090	94,571	21,667
1973	4,070,000	195,010	26,093	168,917	460	1,131	12,274	12,228	46,584	100,036	22,297
1974	4,094,000	231,316	29,439	201,877	481	1,219	14,765	12,974	57,433	120,562	23,882
1975	4,098,000	242,089	29,087	213,002	437	1,289	14,107	13,254	57,912	133,908	21,182
1976	4,144,000	234,732	26,249	208,483	352	1,327	12,247	12,323	56,356	134,355	17,772
1977	4,139,000	235,922	28,716	207,206	333	1,439	12,088	14,856	57,946	131,526	17,734
1978	4,143,000	240,858	30,328	210,530	338	1,476	12,828	15,686	58,907	134,024	17,599
1979	4,149,000	261,166	33,007	228,159	406	1,636	13,740	17,225	62,630	145,297	20,232
