Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/
    
Estimated violent crime total
Year,Maryland
1960,       4691
1961,       4959
1962,       4915
1963,       5283
1964,       7446
1965,      10032
1966,      11236
1967,      17458
1968,      23405
1969,      24295
1970,      24512
1971,      24857
1972,      26412
1973,      26093
1974,      29439
1975,      29087
1976,      26249
1977,      28716
1978,      30328
1979,      33007
1980,      35735
1981,      37800
1982,      36254
1983,      34736
1984,      34455
1985,      36655
1986,      37177
1987,      34820
1988,      37466
1989,      40152
1990,      43940
1991,      46469
1992,      49085
1993,      49540
1994,      47457
1995,      49757
1996,      47230
1997,      43127
1998,      40903
1999,      38447
2000,      41663
2001,      42088
2002,      42015
2003,      38778
2004,      38961
2005,      39369
2006,      38111
2007,      36063
2008,      35393
2009,      33625
2010,      31607
2011,      28817
2012,      28086
2013,      28235
2014,      26661

		
		,1. The figures shown in this column for the offense of rape were estimated using the legacy UCR definition of rape - previously known as "Forcible" rape.  See UCR Offense Definitions for further information.
		
		,2. The figures shown in this column for the offense of rape were estimated using the revised Uniform Crime Reporting (UCR) definition of rape. In December 2011 the UCR program changed its definition of SRS rape to this revised definition. This change can be seen in the UCR data starting in 2013. Prior to 2013 this column will be blank. See UCR Offense Definitions for further information.
		
		
		,Notes:,National or state offense totals are based on data from all reporting agencies and estimates for unreported areas.


"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data" 
Date of download: Nov 01 2017
